model,error_code,title,meaning,actions,service_condition,safety_note,brand,region,signal_type,source_url,source_locator,retrieved_at,catalog_version
T7S PLUS,3,轮子悬空,主轮未接触地面,将主机移到平整地面|重新启动,平整地面仍持续报错时联系石头官方售后,搬动前暂停主机,Roborock,CN,numeric_code,https://files.roborock.com/uploadImages/images/upload/File/%E7%9F%B3%E5%A4%B4%E6%89%AB%E6%8B%96%E6%9C%BA%E5%99%A8%E4%BA%BAT7S%20Plus%E4%BD%BF%E7%94%A8%E8%AF%B4%E6%98%8E%E4%B9%A6.pdf,PDF page 34（manual page 33）,2026-08-28,official-2026-08-28
T7S PLUS,4,悬崖传感器异常,主机悬空或悬崖传感器积灰,移到安全平整位置|用柔软干布擦拭悬崖传感器|重新启动,清洁后仍报错时联系石头官方售后,虚拟墙不能代替楼梯口物理防护,Roborock,CN,numeric_code,https://files.roborock.com/uploadImages/images/upload/File/%E7%9F%B3%E5%A4%B4%E6%89%AB%E6%8B%96%E6%9C%BA%E5%99%A8%E4%BA%BAT7S%20Plus%E4%BD%BF%E7%94%A8%E8%AF%B4%E6%98%8E%E4%B9%A6.pdf,PDF page 34（manual page 33）,2026-08-28,official-2026-08-28
T7S PLUS,5,主刷受阻,主刷或轴承被异物缠绕,关机后取下主刷和轴承|清除缠绕物|装回后复测,主刷损坏异响或仍报错时联系石头官方售后,操作前关机,Roborock,CN,numeric_code,https://files.roborock.com/uploadImages/images/upload/File/%E7%9F%B3%E5%A4%B4%E6%89%AB%E6%8B%96%E6%9C%BA%E5%99%A8%E4%BA%BAT7S%20Plus%E4%BD%BF%E7%94%A8%E8%AF%B4%E6%98%8E%E4%B9%A6.pdf,PDF page 34（manual page 33）,2026-08-28,official-2026-08-28
T7S PLUS,6,边刷受阻,边刷被异物缠绕,关机后拆下边刷|清除缠绕物|装回后复测,边刷模组仍不能转动时联系石头官方售后,操作前关机,Roborock,CN,numeric_code,https://files.roborock.com/uploadImages/images/upload/File/%E7%9F%B3%E5%A4%B4%E6%89%AB%E6%8B%96%E6%9C%BA%E5%99%A8%E4%BA%BAT7S%20Plus%E4%BD%BF%E7%94%A8%E8%AF%B4%E6%98%8E%E4%B9%A6.pdf,PDF page 34（manual page 33）,2026-08-28,official-2026-08-28
T7S PLUS,7,主轮受阻,主轮被异物缠绕或卡住,关机后检查主轮|清除可见异物|移到新位置后重启,主轮仍卡滞异响或报错时联系石头官方售后,不要向轮组内部加水或自行拆机,Roborock,CN,numeric_code,https://files.roborock.com/uploadImages/images/upload/File/%E7%9F%B3%E5%A4%B4%E6%89%AB%E6%8B%96%E6%9C%BA%E5%99%A8%E4%BA%BAT7S%20Plus%E4%BD%BF%E7%94%A8%E8%AF%B4%E6%98%8E%E4%B9%A6.pdf,PDF page 34（manual page 33）,2026-08-28,official-2026-08-28
T7S PLUS,8,主机被困,主机周围存在障碍物,移除周围障碍物|移到开阔位置|重新启动,反复无故被困时联系石头官方售后,先暂停再搬动主机,Roborock,CN,numeric_code,https://files.roborock.com/uploadImages/images/upload/File/%E7%9F%B3%E5%A4%B4%E6%89%AB%E6%8B%96%E6%9C%BA%E5%99%A8%E4%BA%BAT7S%20Plus%E4%BD%BF%E7%94%A8%E8%AF%B4%E6%98%8E%E4%B9%A6.pdf,PDF page 34（manual page 33）,2026-08-28,official-2026-08-28
T7S PLUS,9,尘盒或滤网未就位,尘盒或滤网未安装到位,重新安装尘盒和滤网|确认卡扣到位|必要时更换滤网,安装或更换后仍报错时联系石头官方售后,滤网清洗后至少晾干24小时再装回,Roborock,CN,numeric_code,https://files.roborock.com/uploadImages/images/upload/File/%E7%9F%B3%E5%A4%B4%E6%89%AB%E6%8B%96%E6%9C%BA%E5%99%A8%E4%BA%BAT7S%20Plus%E4%BD%BF%E7%94%A8%E8%AF%B4%E6%98%8E%E4%B9%A6.pdf,PDF page 34（manual page 33）,2026-08-28,official-2026-08-28
T7S PLUS,12,电量过低,剩余电量不足以继续工作,将主机放回充电座|确认开始充电|充足后再使用,无法充电时按充电故障流程处理,只使用说明书指定充电座,Roborock,CN,numeric_code,https://files.roborock.com/uploadImages/images/upload/File/%E7%9F%B3%E5%A4%B4%E6%89%AB%E6%8B%96%E6%9C%BA%E5%99%A8%E4%BA%BAT7S%20Plus%E4%BD%BF%E7%94%A8%E8%AF%B4%E6%98%8E%E4%B9%A6.pdf,PDF page 35（manual page 34）,2026-08-28,official-2026-08-28
T7S PLUS,13,充电接触异常,主机充电触片或充电座弹片接触不良,断开电源|用干布擦拭主机触片和充电座弹片|重新对准充电,清洁后仍无法充电时联系石头官方售后,不要用湿布或湿手清理充电触点,Roborock,CN,numeric_code,https://files.roborock.com/uploadImages/images/upload/File/%E7%9F%B3%E5%A4%B4%E6%89%AB%E6%8B%96%E6%9C%BA%E5%99%A8%E4%BA%BAT7S%20Plus%E4%BD%BF%E7%94%A8%E8%AF%B4%E6%98%8E%E4%B9%A6.pdf,PDF page 35（manual page 34）,2026-08-28,official-2026-08-28
T7S PLUS,14,电池温度异常,电池温度过高或过低,停止运行|等待电池恢复正常温度|在0-40摄氏度环境重试,温度正常后仍报错或电池异常发热时联系售后,不要自行拆解电池；异常发热或鼓包立即停用,Roborock,CN,numeric_code,https://files.roborock.com/uploadImages/images/upload/File/%E7%9F%B3%E5%A4%B4%E6%89%AB%E6%8B%96%E6%9C%BA%E5%99%A8%E4%BA%BAT7S%20Plus%E4%BD%BF%E7%94%A8%E8%AF%B4%E6%98%8E%E4%B9%A6.pdf,PDF page 35（manual page 34）,2026-08-28,official-2026-08-28
T7S PLUS,15,沿墙传感器受遮挡,沿墙传感器被灰尘遮挡,关机|用柔软干布擦拭沿墙传感器|重新启动,清洁后仍报错时联系石头官方售后,不要向传感器喷液体,Roborock,CN,numeric_code,https://files.roborock.com/uploadImages/images/upload/File/%E7%9F%B3%E5%A4%B4%E6%89%AB%E6%8B%96%E6%9C%BA%E5%99%A8%E4%BA%BAT7S%20Plus%E4%BD%BF%E7%94%A8%E8%AF%B4%E6%98%8E%E4%B9%A6.pdf,PDF page 35（manual page 34）,2026-08-28,official-2026-08-28
T7S PLUS,16,主机倾斜,启动时主机不在水平地面,将主机放到水平地面|重新启动,水平地面仍报错时联系石头官方售后,搬动前暂停主机,Roborock,CN,numeric_code,https://files.roborock.com/uploadImages/images/upload/File/%E7%9F%B3%E5%A4%B4%E6%89%AB%E6%8B%96%E6%9C%BA%E5%99%A8%E4%BA%BAT7S%20Plus%E4%BD%BF%E7%94%A8%E8%AF%B4%E6%98%8E%E4%B9%A6.pdf,PDF page 35（manual page 34）,2026-08-28,official-2026-08-28
T7S PLUS,17,边刷模组异常,边刷模组无法正常工作,清除边刷可见异物|执行系统重置|重新测试,重置后仍报错时联系石头官方售后,不要自行拆卸边刷电机模组,Roborock,CN,numeric_code,https://files.roborock.com/uploadImages/images/upload/File/%E7%9F%B3%E5%A4%B4%E6%89%AB%E6%8B%96%E6%9C%BA%E5%99%A8%E4%BA%BAT7S%20Plus%E4%BD%BF%E7%94%A8%E8%AF%B4%E6%98%8E%E4%B9%A6.pdf,PDF page 35（manual page 34）,2026-08-28,official-2026-08-28
T7S PLUS,18,吸尘风机异常,吸尘风机无法正常工作,关机检查尘盒和滤网|执行系统重置|重新测试,出现焦糊味异响或重置后仍报错时立即联系售后,不要自行拆卸风机；有焦糊味立即停用,Roborock,CN,numeric_code,https://files.roborock.com/uploadImages/images/upload/File/%E7%9F%B3%E5%A4%B4%E6%89%AB%E6%8B%96%E6%9C%BA%E5%99%A8%E4%BA%BAT7S%20Plus%E4%BD%BF%E7%94%A8%E8%AF%B4%E6%98%8E%E4%B9%A6.pdf,PDF page 35（manual page 34）,2026-08-28,official-2026-08-28
T7S PLUS,21,激光头上盖受压,激光头压力传感器被压住或卡住,移除上方物体|将主机移到新位置|重新启动,无遮挡仍报错时联系石头官方售后,不要按压或拆卸激光头上盖,Roborock,CN,numeric_code,https://files.roborock.com/uploadImages/images/upload/File/%E7%9F%B3%E5%A4%B4%E6%89%AB%E6%8B%96%E6%9C%BA%E5%99%A8%E4%BA%BAT7S%20Plus%E4%BD%BF%E7%94%A8%E8%AF%B4%E6%98%8E%E4%B9%A6.pdf,PDF page 35（manual page 34）,2026-08-28,official-2026-08-28
T7S PLUS,22,回充传感器受遮挡,回充传感器被灰尘遮挡,关机|用柔软干布擦拭回充传感器|重新启动回充,清洁后仍无法回充时联系石头官方售后,不要向传感器喷液体,Roborock,CN,numeric_code,https://files.roborock.com/uploadImages/images/upload/File/%E7%9F%B3%E5%A4%B4%E6%89%AB%E6%8B%96%E6%9C%BA%E5%99%A8%E4%BA%BAT7S%20Plus%E4%BD%BF%E7%94%A8%E8%AF%B4%E6%98%8E%E4%B9%A6.pdf,PDF page 35（manual page 34）,2026-08-28,official-2026-08-28
T7S PLUS,23,充电座信号区受遮挡,充电座信号发射区被灰尘或异物遮挡,断开充电座电源|清理信号发射区|恢复电源后重试回充,清洁后仍无法回充时联系石头官方售后,不要使用湿布擦拭充电座,Roborock,CN,numeric_code,https://files.roborock.com/uploadImages/images/upload/File/%E7%9F%B3%E5%A4%B4%E6%89%AB%E6%8B%96%E6%9C%BA%E5%99%A8%E4%BA%BAT7S%20Plus%E4%BD%BF%E7%94%A8%E8%AF%B4%E6%98%8E%E4%B9%A6.pdf,PDF page 35（manual page 34）,2026-08-28,official-2026-08-28
T7S PLUS,27,震动擦地模组受阻,震动擦地模组卡入异物,关机后清理可见异物|移到新位置|重新启动,模组损坏异响或仍报错时联系石头官方售后,不要在运行中触碰震动擦地模组,Roborock,CN,numeric_code,https://files.roborock.com/uploadImages/images/upload/File/%E7%9F%B3%E5%A4%B4%E6%89%AB%E6%8B%96%E6%9C%BA%E5%99%A8%E4%BA%BAT7S%20Plus%E4%BD%BF%E7%94%A8%E8%AF%B4%E6%98%8E%E4%B9%A6.pdf,PDF page 35（manual page 34）,2026-08-28,official-2026-08-28
T7S PLUS,28,地毯识别异常,主机位于地毯上或地毯识别传感器受遮挡,将主机搬离地毯|用柔软干布擦拭地毯识别传感器|重新启动,不在地毯且清洁后仍报错时联系石头官方售后,搬动前暂停主机,Roborock,CN,numeric_code,https://files.roborock.com/uploadImages/images/upload/File/%E7%9F%B3%E5%A4%B4%E6%89%AB%E6%8B%96%E6%9C%BA%E5%99%A8%E4%BA%BAT7S%20Plus%E4%BD%BF%E7%94%A8%E8%AF%B4%E6%98%8E%E4%B9%A6.pdf,PDF page 36（manual page 35）,2026-08-28,official-2026-08-28
